timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_3y,dormant_circulation_5y,dormant_circulation_7y,dormant_circulation_8y,dormant_circulation_90d,dormant_circulation_usd_180d,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_intraday,mvrv_usd_intraday_10y,mvrv_usd_intraday_180d,mvrv_usd_intraday_1d,mvrv_usd_intraday_2y,mvrv_usd_intraday_30d,mvrv_usd_intraday_365d,mvrv_usd_intraday_3y,mvrv_usd_intraday_5y,mvrv_usd_intraday_60d,mvrv_usd_intraday_7d,mvrv_usd_intraday_90d,mvrv_usd_z_score,network_profit_loss,nvt,nvt_5min,nvt_transaction_volume,percent_of_total_supply_in_profit,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-06-20 00:00:00,3559.0,58779.0,1189938.0,276370.0,1673881319.1544476,1673881319.1544476,34850578938.9825,34850578938.9825,15072992784.552612,615424234.6281588,29516537689.724686,4912926628.451167,21072027185.91799,33774684760.694675,34163637811.960457,7677926069.654262,1301058805.8309987,10676250700.917767,3940867687.6135545,61945.0,20.0,626.0,9.0,199.0,21525549.426681213,2544008.752337,6799216.701878947,0.0,0.0,0.0,0.0,109829114.89997552,5627903.058553366,366.323314191628,67.600201754587,237.680796171284,120.932883712343,319.713842750149,332.80020187296,39.953994519528,455.09595008504,106.187921073466,357.467648349924,-91.797282712465,444.868736966324,446.029451485429,251.775364307658,-0.014256288201,0.427278950542,0.427278950542,0.763067425176,0.616523796904,0.423618030866,0.810442932718,0.748467757975,0.416777670861,0.42111750564,0.762724046176,0.850149202497,0.741581996246,0.410343725635,0.410343725635,0.731467840349,0.99586275095,0.405888494634,0.793675078365,0.708867503605,0.400254958593,0.404424950418,0.731292987006,0.982049538459,0.7146412679,-0.902421105613,-2535128.307658289,56.628544958161,123.850344952588,4.357287102931,12.842674406502,22049146415.47052,22049146415.47052,5339859862.095911,269847272.31851256,18835808161.47615,1638744025.8331761,7610733305.986343,21906860539.736855,21930780918.4624,2721258321.811939,413709084.29793996,3891821100.1473656,2.196917951107,2.196917951107,0.884597599506,3.081515550613,0.05908825421,0.05908825421,-1.707259064826,-1.707259064826,0.000546849559,0.000546849559,0.05908825421,1.253771789704,0.537734079809,17.0,14.0,34850578938.9825,4475746381.914637,1228896394.308869,2676796963.1847115,2446852930.44067,0.914097320078,843507.0,23.0,2.0,3.0,12.996284986607,311.0,19.0,308346911.23429656,150359915.30113223
2023-06-20 04:00:00,3197.0,61006.0,1189876.0,277376.0,4265660331.582406,4265660331.582406,,,,,,,,,,,,,,,87.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408899337127,0.408899337127,0.729025738859,0.994342551455,0.404479405371,0.791982680842,0.706473203707,0.398846679371,0.403001817346,0.734450012659,0.982045016973,0.712558335509,,-4494620.625889359,,109.578085802476,,,,,,,,,,,,,,,2.107140123844,2.107140123844,1.590870440006,3.69801056385,-0.065186268041,-0.065186268041,,,0.197035444069,0.197035444069,-0.065186268041,1.855908250575,0.826198054797,33.0,23.0,,,1267307575.743321,,,,,,3.0,3.0,,334.0,20.0,315129879.1894837,151335239.01893473
2023-06-20 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843441.0,,,,,,,,
2023-06-20 08:00:00,3393.0,61900.0,1188299.0,278019.0,1379385643.2106931,1379385643.2106931,,,,,,,,,,,,,,,241.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.410283341998,0.410283341998,0.731471112676,0.998225383789,0.40586589988,0.795184124691,0.708916319626,0.400196805393,0.404365668759,0.737210860901,0.986820087885,0.715099984615,,-1963196.7879181036,,108.496345200744,,,,,,,,,,,,,,,-0.239090204239,-0.239090204239,7.444878160954,7.205787956715,0.009331625383,0.009331625383,,,0.157177173584,0.157177173584,0.009331625383,2.133592418089,1.171657901618,51.0,42.0,,,1220174297.515237,,,,,,6.0,7.0,,307.0,17.0,304328384.95204276,146159661.08728716
2023-06-20 12:00:00,4028.0,63907.0,1187274.0,277730.0,1199198006.6982872,1199198006.6982875,,,,,,,,,,,,,,,168.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406615213392,0.406615213392,0.725011493885,0.992579724617,0.402252300539,0.788864727649,0.702693749018,0.396618995565,0.400748809159,0.731098961851,0.980167835233,0.708942056196,,-1829700.9920825385,,113.045799205466,,,,,,,,,,,,,,,0.71549487114,0.71549487114,5.745354652405,6.460849523544,0.024169196947,0.024169196947,,,0.328230190053,0.328230190053,0.024169196947,2.372543251158,1.08537172883,58.0,45.0,,,1247206297.947963,,,,,,9.0,9.0,,322.0,18.0,305224309.1615945,147177743.46499813
2023-06-20 16:00:00,4767.0,65705.0,1187175.0,279705.0,15895645995.860611,15895645995.860613,,,,,,,,,,,,,,,72.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.420826191514,0.420826191514,0.752818599923,1.009633731679,0.416399501727,0.823282891465,0.728750946071,0.410483181297,0.414757295766,0.763340187725,1.009131302106,0.737964977626,,-24780937.20288677,,56.116182238888,,,,,,,,,,,,,,,-1.309562146664,-1.309562146664,8.92463093996,7.615068793297,-0.1240878117,-0.1240878117,,,0.113284608599,0.113284608599,-0.1240878117,2.978754479948,1.447268375755,80.0,62.0,,,1878641558.882016,,,,,,2.0,2.0,,385.0,51.0,478785727.020093,307391942.92956
2023-06-20 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843380.0,,,,,,,,
2023-06-20 20:00:00,3131.0,61945.0,1186511.0,280283.0,2947634588.5713043,2947634588.5713043,,,,,,,,,,,,,,,38.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427302230383,0.427302230383,0.764568988217,1.021788169881,0.422834798818,0.836502950885,0.740150416692,0.41680037634,0.421140234206,0.775541900947,1.023707932379,0.749704612362,,-3003190.0277513154,,56.628544958184,,,,,,,,,,,,,,,0.902485132217,0.902485132217,0.72573697567,1.628222107887,0.0,0.0,,,0.039819634084,0.039819634084,0.0,2.088304516313,0.946898880159,47.0,28.0,,,1156002616.494299,,,,,,1.0,1.0,,288.0,17.0,298794550.4455111,145143101.70663476
2023-06-21 00:00:00,2823.0,60130.0,1186102.0,281698.0,1436533981.1560824,1436533981.1560824,34852401043.515114,34852401043.515114,15172177005.387224,996382518.5355203,29629145546.8313,5466899574.111718,21208033612.912285,33776483742.133038,34165245180.824883,7832724012.205301,1984613319.2561288,10537350433.423357,4260558086.754202,56010.0,24.0,551.0,6.0,198.0,159856685.90466607,118442209.97024108,146564969.07837936,121315.94545999999,13777.926151,0.0,0.0,172950895.45559186,44889978.255000524,363.198173419176,65.35023192174,235.781878553706,119.294611959092,316.460077088344,329.584533002278,35.986971111408,452.817899667651,104.998393375514,357.243416618792,-93.561500752374,442.450069381386,443.626772621697,255.507772269706,-0.029933202794,0.459229535778,0.459229535778,0.820919185003,0.737805120827,0.45338503773,0.879221953524,0.803025302476,0.447979330083,0.452635742398,0.83295850527,0.932606154635,0.803537635211,0.44374915676,0.44374915676,0.793637918534,1.051586142503,0.439123441894,0.868734463882,0.76864511921,0.432842933351,0.437349370142,0.80540279025,1.059354797795,0.77836572433,-0.836551187769,-700453.6574733545,34.97893669867,56.566740949355,3.933855746688,17.540102417968,21781381658.512768,21781381658.512768,5304323828.997157,387585006.74772024,18755751847.042397,1784535151.1594384,7579729512.914757,21639090060.061245,21662981614.10432,2698808017.8011055,610745335.7335202,3763637050.365471,-0.95669656992,-0.95669656992,4.09365695715,3.13696038723,-0.011270292319,-0.011270292319,-1.637270189266,-1.637270189266,-0.116610722544,-0.116610722544,-0.011270292319,3.120483022872,1.431719913908,51.0,36.0,34852401043.515114,6113146838.153425,1282171391.330219,2755574334.391611,3720560160.5991426,1.35019408265,843304.0,28.0,6.0,6.0,8.891769030452,350.0,20.0,338575041.3910716,161623118.0558655
2023-06-21 04:00:00,2782.0,58732.0,1185345.0,282649.0,1121818284.999679,1121818284.9996793,,,,,,,,,,,,,,,93.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4400703065,0.4400703065,0.786990703525,1.038582820649,0.435526567756,0.861861530371,0.762352066695,0.429254538256,0.433722785266,0.798914551998,1.049474001934,0.772041712385,,-983200.3761016302,,58.566093390593,,,,,,,,,,,,,,,0.73479616642,0.73479616642,3.403315544128,4.138111710548,0.160284043942,0.160284043942,,,0.155677080799,0.155677080799,0.160284043942,3.880388322424,1.14347976032,69.0,34.0,,,1198817566.806119,,,,,,6.0,6.0,,301.0,19.0,324641106.1991645,159639587.83599475
2023-06-21 08:00:00,3279.0,57723.0,1184498.0,283708.0,2928982380.093276,2928982380.093276,,,,,,,,,,,,,,,150.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441006959586,0.441006959586,0.78868979329,1.036284582189,0.436481675744,0.864961117253,0.764072786902,0.430168349222,0.43464605155,0.800985136381,1.050581592614,0.773906128362,,-1743567.3212083683,,58.354694353175,,,,,,,,,,,,,,,-2.136334121227,-2.136334121227,2.136334121227,0.0,-0.044895252023,-0.044895252023,,,-0.007641755754,-0.007641755754,-0.044895252023,1.496039264559,0.829148057672,47.0,29.0,,,1221223505.6411839,,,,,,2.0,2.0,,310.0,19.0,327580970.65945774,161410589.09676906
2023-06-21 12:00:00,3802.0,57308.0,1183563.0,284940.0,133288865343.49167,133288865343.49165,,,,,,,,,,,,,,,154.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451377696783,0.451377696783,0.808514517389,1.019886976105,0.444744742659,0.88870522607,0.780357457902,0.440319015633,0.444896169529,0.832382462348,1.03993337864,0.798605551089,,-262481935.3973814,,27.631459695901,,,,,,,,,,,,,,,5.290198564529,5.290198564529,0.780521571636,6.070720136166,0.153762156822,0.153762156822,,,0.675483088715,0.675483088715,0.153762156822,1.718522158505,0.706725278584,54.0,34.0,,,2669809873.126218,,,,843292.0,,4.0,4.0,,352.0,59.0,731790532.4342968,564805113.6833749
2023-06-21 16:00:00,3913.0,56341.0,1181934.0,285493.0,2511087954.1184936,2511087954.1184936,,,,,,,,,,,,,,,82.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45672239459,0.45672239459,0.817994212998,1.017263643896,0.450029794909,0.899772562332,0.789631941124,0.445533731301,0.450164297644,0.842193664424,1.050338817536,0.808040285764,,-722893.5615814643,,34.807910069816,,,,,,,,,,,,,,,0.966617166996,0.966617166996,4.00922358036,4.975840747356,-0.097245318914,-0.097245318914,,,0.694635109022,0.694635109022,-0.097245318914,3.301375294331,1.174000322619,93.0,49.0,,,1260108355.6073759,,,,,,6.0,6.0,,325.0,20.0,342949890.5675102,168947345.88870645
2023-06-21 20:00:00,3264.0,56010.0,1181642.0,282268.0,1815505108.632973,1815505108.632973,,,,,,,,,,,,,,,48.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459228488435,0.459228488435,0.822498442694,1.019229762743,0.452517295889,0.905068622167,0.794010328497,0.447978305992,0.452634475532,0.847026622649,1.053566711191,0.812594358778,,-1642254.0897074249,,34.978936698679,,,,,,,,,,,,,,,2.297954082489,2.297954082489,0.854512155056,3.152466237545,-0.046779156215,-0.046779156215,,,0.169362642673,0.169362642673,-0.046779156215,1.900454090521,1.018210130928,38.0,27.0,,,1227472528.287047,,,,,,4.0,4.0,,301.0,20.0,339225815.2000094,169510847.90188292
2023-06-22 00:00:00,3071.0,55088.0,1181558.0,280289.0,1213335407.947687,1213335407.9476867,34858278371.21767,34858278371.21767,15411242307.016151,670317019.251519,29673084848.10037,5695102292.757592,21430607247.85989,33779447206.50003,34171047397.00025,8122498123.742912,2266806992.2105703,10642409376.524734,4546798008.415621,51361.0,40.0,869.0,10.0,191.0,261497147.02460065,55881884.98786199,230394316.89065334,1727.621251,1045.951,0.0,0.0,268195884.81148228,77149828.91136079,359.801867225146,64.652260580166,232.574529286572,118.192116987455,312.864390156061,326.102309520698,34.778058961121,451.086070049063,103.983977986729,354.576388025893,-92.856107182928,440.624134108646,441.818694070858,253.337599009032,-0.03198560243,0.467889191586,0.467889191586,0.832398489159,0.639898672825,0.462943616997,0.893960122379,0.81440770198,0.456416051819,0.461189638775,0.846393304411,0.936442886594,0.816909064202,0.476561676609,0.476561676609,0.853353059893,1.051895746128,0.469625690616,0.940543067583,0.823920831356,0.464857924066,0.469718688502,0.878698438333,1.089951604655,0.843072644674,-0.791213449427,-251478.6957539924,52.002675405946,35.658237730987,4.064873217958,20.09600024202,21628642311.430523,21628642311.430523,5374928645.143424,304113272.3712026,18608053051.75879,1849480345.5059433,7639394586.928911,21486118466.90332,21510231612.758766,2786016846.608615,702747948.0949633,3782096306.543246,0.906868159771,0.906868159771,5.768259465694,6.675127625465,0.192087290362,0.192087290362,-1.577323366979,-1.577323366979,-0.092506898203,-0.092506898203,0.192087290362,5.232670075591,1.977637295919,115.0,49.0,34858278371.21767,7005119705.843998,1183968540.5009549,2851936857.715921,2562959440.4507666,0.898673276555,843267.0,37.0,5.0,5.0,12.793185080462,312.0,18.0,334073641.53926307,160191053.59315458
