timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity_1d,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_90d,dormant_circulation_usd_180d,exchange_balance,exchange_inflow,exchange_inflow_usd,exchange_outflow,exchange_outflow_usd,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_z_score,network_growth,network_profit_loss,nvt,nvt_transaction_volume,percent_of_total_supply_in_profit,percent_of_total_supply_on_exchanges,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,supply_on_exchanges,supply_outside_exchanges,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,transactions_count,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2024-01-23 00:00:00,0.0,13.0,348.0,89.0,419055.9707803661,419055.9707803661,100001326.24042286,100001326.24042286,100001326.24042286,243092.8373253774,100001326.24042286,15339370.900729971,100001326.24042286,100001326.24042286,100001326.24042286,73260771.0776251,5106753.304140713,77078184.79254214,225394.00554917325,11.0,0.0,0.0,0.0,0.0,0.0,589.50184327,0.0,107792.60434641,107792.60434641,235.66452502109,0.0,0.0,64.838191899667,64.838191899667,64.838191899667,64.838191899667,64.838191899667,64.838191899667,37.965907266171,131.606679993667,129.382576818261,129.382576818261,129.382576818261,129.382576818261,129.382576818261,52.523186669867,-0.226367117064,0.050144571835,0.050144571835,0.050144571835,0.952658703911,0.050144571835,0.595010711207,0.050144571835,0.050144571835,0.050144571835,0.2765116889,0.758737383363,0.196980358774,-0.639380849415,0.0,-90.772135438965,411.370928657071,260.898465368158,12.3440075306,61.856683204509,4277431.084300886,4277431.084300886,4277431.084300886,547.31331242615,4277431.084300886,55294.7569715195,4277431.084300886,4277431.084300886,4277431.084300886,568275.8226062425,14436.25633254772,839285.544439263,0.804074704647,0.804074704647,8.839638948441,9.643713653088,-0.104096154131,-0.104096154131,1.341307214419,1.341307214419,-0.295105236264,-0.295105236264,-0.104096154131,2.830758711441,1.649432271638,68.0,50.0,61857503.57284588,38143822.667576976,100001326.24042286,12344171.241817575,109992.4534147,331559.6889209,51736.26530906999,0.156039069398,2.0,,159.0,13.0,13.0,1.576747214962,0.0,0.0,0.0,0.0
2024-01-23 04:00:00,3.0,16.0,351.0,87.0,4127144.77096996,4127144.77096996,,,,,,,,,,,,,,,,,,,,,,49577.71180641,49577.71180641,115.539618907122,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-428.054319171878,,,,,,,,,,,,,,,,,6.575142145157,6.575142145157,5.939952135086,12.515094280243,0.434863143327,0.434863143327,,,0.621899543712,0.621899543712,0.434863143327,1.705551917059,1.740701709007,54.0,53.0,,,,,133100.38391075,,,,,,,29.0,30.0,,0.0,0.0,0.0,0.0
2024-01-23 08:00:00,0.0,15.0,349.0,85.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12.767759501934,12.767759501934,4.160446465015,16.928205966949,-0.074736140938,-0.074736140938,,,0.952794278258,0.952794278258,-0.074736140938,1.367870317044,1.19382428684,60.0,50.0,,,,,0.0,,,,,,,33.0,33.0,,0.0,0.0,0.0,0.0
2024-01-23 12:00:00,0.0,12.0,346.0,84.0,11274.586386547726,11274.586386547726,,,,,,,,,,,,,,,,,,,,,,-41164.81844987,0.0,0.0,41164.81844987,94.65211713111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.287457884151,,,,,,,,,,,,,,,,,9.951959133148,9.951959133148,5.401247799397,15.353206932545,-0.011056731701,-0.011056731701,,,1.064472147772,1.064472147772,-0.011056731701,1.421512805043,1.039977385449,65.0,59.0,,,,,41164.81844987,,,,,,,34.0,34.0,,0.0,0.0,0.0,0.0
2024-01-23 16:00:00,3.0,13.0,348.0,85.0,38313.061900391476,38313.061900391476,,,,,,,,,,,,,,,,,,,,,,-59571.446859200005,0.0,0.0,59571.446859200005,138.490215620556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.043387015844,,,,,,,,,,,,,,,,,3.960443973541,3.960443973541,6.83786803484,10.798312008381,-0.084097941293,-0.084097941293,,,-0.288739519659,-0.288739519659,-0.084097941293,1.582960950862,1.501061725092,58.0,61.0,,,,,59571.446859200005,,,,,,,33.0,33.0,,0.0,0.0,0.0,0.0
2024-01-23 20:00:00,0.0,11.0,347.0,82.0,36139.576745666935,36139.576745666935,,,,,,,,,,,,,,,,,,,,,,-39466.85159545,0.0,0.0,39466.85159545,84.256844857794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.028637265167,,,,,,,,,,,,,,,,,4.649228513241,4.649228513241,2.409530878067,7.058759391308,0.012710073666,0.012710073666,,,-0.249590353032,-0.249590353032,0.012710073666,0.853408735064,0.916445392871,27.0,31.0,,,,,39466.85159545,,,,,,,17.0,17.0,,0.0,0.0,0.0,0.0
2024-01-24 00:00:00,0.0,10.0,347.0,79.0,84041.57217773092,84041.57217773092,100001326.24042286,100001326.24042286,100001326.24042286,4295761.924858436,100001326.24042286,16352498.867087232,100001326.24042286,100001326.24042286,100001326.24042286,73254673.83583659,5302092.445371133,76863570.84256971,266265.33965494443,42.0,0.0,0.0,0.0,0.0,0.0,3.64370008,0.0,-59147.64641343,0.0,0.0,59147.64641343,128.486363359311,65.273650032086,65.273650032086,65.273650032086,65.273650032086,65.273650032086,65.273650032086,38.088233851104,132.597901403413,130.373179016733,130.373179016733,130.373179016733,130.373179016733,130.373179016733,52.397925655812,-0.291117728098,0.064297485445,0.064297485445,0.064297485445,1.002003887026,0.064297485445,0.774613956003,0.064297485445,0.064297485445,0.064297485445,0.355415213543,1.008593351269,0.258908829956,-0.634456911429,27.0,-6.473175477258,23.279066202841,9.929378083455,33.465586963869,59.166461459128,4276105.670644511,4276105.670644511,4276105.670644511,11787.113244838885,4276105.670644511,58041.07778340613,4276105.670644511,4276105.670644511,4276105.670644511,566677.5180956929,14453.32780513199,816225.864316487,3.903877079487,3.903877079487,3.335360646248,7.239237725735,-0.150638279998,-0.150638279998,0.484090264539,0.484090264539,-0.581601134772,-0.581601134772,-0.150638279998,1.525504980947,1.139271060499,35.0,30.0,59167246.14865645,40834080.09176641,100001326.24042286,33466030.798011247,59147.64641343,3936256.277164939,3900627.6247472507,0.990948594322,23.0,,120.0,12.0,12.0,2.344463672063,0.0,0.0,0.0,0.0
2024-01-24 04:00:00,20.0,26.0,359.0,90.0,27282921.136174086,27282921.136174086,,,,,,,,,,,,,,,,,,,,,,-2381474.9244426,1611507.3272987101,4225.877392044394,3992982.25174131,9926.825375828235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-695.166356376694,,,,,,,,,,,,,,,,,5.943415820599,5.943415820599,3.323178768158,9.266594588757,0.179993334464,0.179993334464,,,-0.110390615552,-0.110390615552,0.179993334464,1.777315147511,1.088410669424,45.0,33.0,,,,,5652720.292019649,,,,,,,17.0,17.0,,0.0,0.0,0.0,0.0
2024-01-24 08:00:00,3.0,33.0,364.0,91.0,7959434.545409113,7959434.545409113,,,,,,,,,,,,,,,,,,,,,,-499420.87356493005,552154.62257962,1562.956364216585,1051575.49614455,3013.984333437616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1122.374324273343,,,,,,,,,,,,,,,,,6.783727645874,6.783727645874,4.803970456123,11.587698101997,0.132282351521,0.132282351521,,,0.20293364774,0.20293364774,0.132282351521,1.761428651728,1.264029205433,61.0,47.0,,,,,1614998.58040946,,,,,,,34.0,34.0,,0.0,0.0,0.0,0.0
2024-01-24 12:00:00,13.0,41.0,372.0,97.0,20875087.49594452,20875087.49594452,,,,,,,,,,,,,,,,,,,,,,-480626.81482797995,685259.26555096,2215.393604406468,1165886.0803789399,3631.049451573279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.066499760199,,,,,,,,,,,,,,,,,2.06094545126,2.06094545126,4.869394540787,6.930339992046,-0.167972542699,-0.167972542699,,,-0.554731106151,-0.554731106151,-0.167972542699,0.938844961235,0.775398531076,36.0,36.0,,,,,1865130.22890032,,,,,,,19.0,19.0,,0.0,0.0,0.0,0.0
